ㅅㅂ 이것도 좋네      ㅇㅇ(223.62) 
개못해     ㅇㅇ(58.79) 
난 래퍼대래퍼가 궁금해     ㅇㅇ(121.158) 
비트깔끔하네     ㅇㅇ(218.37) 
이거 이태원ost같음     ㅇㅇ(211.216) 
?     ㅇㅇ(219.250) 
좋긴 함 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.33) 
비오는 랩 항상했는데 안한다고 까임     NEWBEE 
노래 개좋네 ㄹㅇ     키움의겁없.. 
ㄹㅇ 이태원클라스 시즌2 노래누 ㅋㅋㅋ     1111(125.143) 
송민호 좋긴좋노 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(117.111) 
커다란 이부진~     ㅇㅇ(49.170) 
송민호 우승 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(14.35) 
팝 아님?     ㅇㅇ(223.38) 
===11/20 00:50:44===
아이돌한테 이노래 팔면 될듯     ㅇㅇ(112.152) 
그레이 시벌롬아 비트만 찍어 ㅈㄴ좋네     ㅇㅇ(58.239) 
시발 싱잉한다고 욕처먹던 비오가 그나마 랩을함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(221.142) 
쿤타가 좋지만 곡은 이게 더 좋다..     ㅇㅇ(118.39) 
7 years old랑 후렴 멜로디가 비슷하노     ㅇㅇ(219.250) 
음원차트 케이크처럼 쉽게 먹겠노 ㅋㅋㅋㅋㅋ     211.44 
어깨에 저 괴상한 털 잡아뜯고싶노     ㅇㅇ(211.246) 
아니 시발 왜 힙합프로에서 피처링이 랩을하냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(39.121) 
비오 - 이무진ㅋㅋㅋㅋㅋ     ㅇㅇ(58.226) 
랩 몇마디 하니까 비오줌들 기어나오네 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(113.61) 
소신발언) 깐부보단 좋다ㅋㅋㅋ     ㅇㅇ(49.166) 
음원 1위 만쉽이어 2위 리무진 3위 깐부 ㅋㅋ     ㅇㅇ(211.57) 
마이노 우승 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.174) 
===11/20 00:50:49===
비오 우승 ㅅㅅ     ㅇㅇ 
이성경 돼지 대두 고소 ㅗㅗ     ㅇㅇ(58.231) 
슈미더머니ㅋㅋㅋㅋㅋ     ㅇㅇ(125.177) 
제이슨므라즈 씹씹씹하위호환 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(122.47) 
지린다 ㅋㅋ     ㅇㅇ(112.170) 
와 송민호 ㅈㄴ 쫀득하게 잘하네 ㅋㅋㅋ     148cm 
이런 섀기들이 판치는데 수린이 어디감?     ㅇㅇ(121.172) 
그간은 지가 랩하고 노래 피쳐링 시켰는데      ㅇㅇ(125.251) 
송민호 우승 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.177) 
밖에서 누구소리지르고싸우다 경찰옴 ㅇ      나가국(34.. 
송민호 랩잘하네?     ㅇㅇ(221.139) 
비오+송민호 우승 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 
자메이카 아프리카인줄알았네ㅋㅋㅋㅋ     ㅇㅇ(39.7) 
회전목마 개같이 멸망 ㅋㅋㅋ     디시병신 
얘 머리 언제 밀었냐     노란뚱땡이 
마이노가 확실히 랩이 좆되긴하네     ㅇㅇ(116.123) 
아니 좋긴 한데 이게 랩이냐고 ㅋㅋㅋ     ㅇㅇ(115.143) 
송민호 좋은데?     ㅇㅇ(223.38) 
싱잉할거면 박자 잘타는걸 보여줄수있는거하지     ㅇㅇ(223.39) 
===11/20 00:50:54===
베이식 승     ㅇㅇ(39.7) 
아 지랄났네 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(118.235) 
저게 좋다고?ㅋㅋㅋ     ㅇㅇ(112.153) 
